Genre,index genre
Puzzle,2867
Indie,2874
Simulator,2874
Adventure,2900
Indie,2900
Simulator,2900
Unknow,2983
Adventure,3013
Arcade,3033
Puzzle,3033
Adventure,3050
Hack and slash/Beat 'em up,3050
Role-playing (RPG),3050
Indie,3053
Role-playing (RPG),3053
Simulator,3053
Strategy,3053
Simulator,3062
Strategy,3067
Simulator,3078
Strategy,3078
Simulator,3094
Puzzle,3095
Unknow,3108
Indie,3113
Sport,3113
Arcade,3116
Racing,3116
Adventure,3121
Puzzle,3121
Simulator,3122
Adventure,3132
Indie,3132
Platform,3132
Puzzle,3132
Arcade,3143
Arcade,3161
Adventure,3174
Simulator,3174
Music,3176
Role-playing (RPG),3178
Adventure,3185
Indie,3185
Platform,3185
Shooter,3187
Unknow,3193
Role-playing (RPG),3200
Racing,3212
Puzzle,3221
Unknow,3229
Role-playing (RPG),3252
Racing,3256
Simulator,3256
Indie,3265
Strategy,3265
Puzzle,3271
Indie,3277
Puzzle,3277
Role-playing (RPG),3283
Strategy,3283
Adventure,3311
Point-and-click,3311
Real Time Strategy (RTS),3312
Role-playing (RPG),3312
Strategy,3312
Simulator,3313
Arcade,3315
Adventure,3343
Indie,3343
Role-playing (RPG),3343
Indie,3355
Platform,3355
Racing,3355
Simulator,3371
Strategy,3371
Unknow,3378
Sport,3380
Adventure,3393
Strategy,3393
Adventure,3402
Puzzle,3402
Arcade,3419
Unknow,3423
Strategy,3425
Arcade,3430
Role-playing (RPG),3430
Adventure,3431
Indie,3431
Puzzle,3431
Indie,3441
Strategy,3441
Music,3446
Simulator,3446
Strategy,3446
Arcade,3531
Puzzle,3531
Arcade,3541
Shooter,3541
Simulator,3541
Strategy,3541
Indie,3543
Racing,3543
Role-playing (RPG),3543
Sport,3543
Arcade,3549
Indie,3549
Adventure,3556
Indie,3556
Platform,3556
Puzzle,3556
Shooter,3573
Adventure,3574
Puzzle,3574
Strategy,3581
Unknow,3590
Arcade,3593
Racing,3593
Simulator,3593
Sport,3593
Unknow,3599
Unknow,3616
Puzzle,3620
Puzzle,3625
Arcade,3628
Simulator,3628
Role-playing (RPG),3654
Simulator,3654
Role-playing (RPG),3655
Adventure,3680
Arcade,3680
Adventure,3690
Indie,3690
Platform,3690
Puzzle,3690
Arcade,3692
Role-playing (RPG),3702
Strategy,3707
Simulator,3730
Sport,3730
Puzzle,3740
Adventure,3751
Indie,3751
Simulator,3751
Arcade,3766
Sport,3766
Indie,3774
Simulator,3774
Puzzle,3785
Indie,3795
Indie,3796
Role-playing (RPG),3796
Strategy,3796
